constructorIdErgast,name,constructorId,url,nationality
147,AFM,afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,German
39,AGS,ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,French
54,ATS,ats,http://en.wikipedia.org/wiki/ATS_(wheels),Italian
161,Adams,adams,http://en.wikipedia.org/wiki/Adams_(constructor),American
51,Alfa Romeo,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Swiss
213,AlphaTauri,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,Italian
214,Alpine F1 Team,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,French
126,Alta,alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,British
78,Amon,amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),New Zealander
38,Andrea Moda,moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Italian
71,Apollon,apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Swiss
21,Arrows,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,British
137,Arzani-Volpini,arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Italian
152,Aston Butterworth,butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,British
117,Aston Martin,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,British
16,BAR,bar,http://en.wikipedia.org/wiki/British_American_Racing,British
145,BMW,bmw,http://en.wikipedia.org/wiki/BMW,German
2,BMW Sauber,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,German
66,BRM,brm,http://en.wikipedia.org/wiki/BRM,British
197,BRM-Ford,brm-ford,http://en.wikipedia.org/wiki/BRM,British
94,BRP,brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,British
104,Behra-Porsche,behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Italian
85,Bellasi,bellasi,http://en.wikipedia.org/wiki/Bellasi,Swiss
22,Benetton,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Italian
70,Boro,boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Dutch
34,Brabham,brabham,http://en.wikipedia.org/wiki/Brabham,British
204,Brabham-Alfa Romeo,brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,British
181,Brabham-BRM,brabham-brm,http://en.wikipedia.org/wiki/Brabham,British
183,Brabham-Climax,brabham-climax,http://en.wikipedia.org/wiki/Brabham,British
182,Brabham-Ford,brabham-ford,http://en.wikipedia.org/wiki/Brabham,British
191,Brabham-Repco,brabham-repco,http://en.wikipedia.org/wiki/Brabham,British
23,Brawn,brawn,http://en.wikipedia.org/wiki/Brawn_GP,British
139,Bromme,bromme,http://en.wikipedia.org/wiki/Bromme,American
130,Bugatti,bugatti,http://en.wikipedia.org/wiki/Bugatti,French
207,Caterham,caterham,http://en.wikipedia.org/wiki/Caterham_F1,Malaysian
115,Christensen,vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),American
153,Cisitalia,cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Italian
42,Coloni,coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Italian
125,Connaught,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,British
84,Connew,connew,http://en.wikipedia.org/wiki/Connew,British
87,Cooper,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
193,Cooper-ATS,cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
178,Cooper-Alfa Romeo,cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
195,Cooper-BRM,cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
169,Cooper-Borgward,cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
171,Cooper-Castellotti,cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
170,Cooper-Climax,cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
192,Cooper-Ferrari,cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
186,Cooper-Ford,cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
167,Cooper-Maserati,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
168,Cooper-OSCA,cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
35,Dallara,dallara,http://en.wikipedia.org/wiki/Dallara,Italian
86,De Tomaso,tomaso,http://en.wikipedia.org/wiki/De_Tomaso,Italian
175,De Tomaso-Alfa Romeo,de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,Italian
179,De Tomaso-Ferrari,de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,Italian
174,De Tomaso-Osca,de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,Italian
150,Deidt,deidt,http://en.wikipedia.org/wiki/Deidt,American
143,Del Roy,del_roy,http://en.wikipedia.org/wiki/Del_Roy,American
96,Derrington,derrington,http://en.wikipedia.org/wiki/Derrington-Francis,British
120,Dunn,dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,American
146,EMW,emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,East German
100,ENB,enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,Belgian
151,ERA,era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,British
88,Eagle,eagle,http://en.wikipedia.org/wiki/Anglo_American_Racers,American
189,Eagle-Climax,eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,American
190,Eagle-Weslake,eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,American
121,Elder,elder,http://en.wikipedia.org/wiki/Elder_(constructor),American
75,Embassy Hill,hill,http://en.wikipedia.org/wiki/Hill_(constructor),British
99,Emeryson,emeryson,http://en.wikipedia.org/wiki/Emeryson,British
57,Ensign,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,British
108,Epperly,epperly,http://en.wikipedia.org/wiki/Epperly,American
44,Euro Brun,eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Italian
116,Ewing,ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),American
102,Ferguson,ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,British
6,Ferrari,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Italian
56,Fittipaldi,fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Brazilian
36,Fondmetal,fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Italian
29,Footwork,footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,British
10,Force India,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Indian
28,Forti,forti,http://en.wikipedia.org/wiki/Forti,Italian
148,Frazer Nash,frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,British
123,Fry,fry,http://en.wikipedia.org/wiki/Fry_(racing_team),British
97,Gilby,gilby,http://en.wikipedia.org/wiki/Gilby,British
128,Gordini,gordini,http://en.wikipedia.org/wiki/Gordini,French
164,HRT,hrt,http://en.wikipedia.org/wiki/Hispania_Racing,Spanish
133,HWM,hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,British
210,Haas F1 Team,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,American
155,Hall,hall,http://en.wikipedia.org/wiki/Hall_(constructor),American
64,Hesketh,hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,British
11,Honda,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Japanese
80,Iso Marlboro,iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,British
101,JBW,jbw,http://en.wikipedia.org/wiki/JBW,British
19,Jaguar,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,British
17,Jordan,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Irish
61,Kauhsen,kauhsen,http://en.wikipedia.org/wiki/Kauhsen,German
140,Klenk,klenk,http://en.wikipedia.org/wiki/Klenk,German
72,Kojima,kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Japanese
113,Kurtis Kraft,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,American
114,Kuzma,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),American
89,LDS,lds,http://en.wikipedia.org/wiki/LDS_(automobile),South African
185,LDS-Alfa Romeo,lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),South African
184,LDS-Climax,lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),South African
68,LEC,lec,http://en.wikipedia.org/wiki/LEC_(Formula_One),British
40,Lambo,lambo,http://en.wikipedia.org/wiki/Modena_(racing_team),Italian
132,Lancia,lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Italian
157,Langley,langley,http://en.wikipedia.org/wiki/Langley_(constructor),American
33,Larrousse,larrousse,http://en.wikipedia.org/wiki/Larrousse,French
110,Lesovsky,lesovsky,http://en.wikipedia.org/wiki/Lesovsky,American
41,Leyton House,leyton,http://en.wikipedia.org/wiki/Leyton_House,British
47,Life,life,http://en.wikipedia.org/wiki/Life_(Racing_Team),Italian
27,Ligier,ligier,http://en.wikipedia.org/wiki/Ligier,French
26,Lola,lola,http://en.wikipedia.org/wiki/MasterCard_Lola,British
205,Lotus,lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Malaysian
208,Lotus F1,lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,British
176,Lotus-BRM,lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,British
177,Lotus-Borgward,lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,British
172,Lotus-Climax,lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,British
180,Lotus-Ford,lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,British
173,Lotus-Maserati,lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,British
201,Lotus-Pratt &amp; Whitney,lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,British
76,Lyncar,lyncar,http://en.wikipedia.org/wiki/Lyncar,British
103,MBM,mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,Swiss
13,MF1,mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Russian
74,Maki,maki,http://en.wikipedia.org/wiki/Maki_(cars),Japanese
209,Manor Marussia,manor,http://en.wikipedia.org/wiki/Manor_Motorsport,British
37,March,march,http://en.wikipedia.org/wiki/March_Engineering,British
199,March-Alfa Romeo,march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,British
200,March-Ford,march-ford,http://en.wikipedia.org/wiki/March_Engineering,British
156,Marchese,marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),American
65,Martini,martini,http://en.wikipedia.org/wiki/Martini_(cars),French
206,Marussia,marussia,http://en.wikipedia.org/wiki/Marussia_F1,Russian
105,Maserati,maserati,http://en.wikipedia.org/wiki/Maserati,Italian
82,Matra,matra,http://en.wikipedia.org/wiki/Matra,French
196,Matra-Ford,matra-ford,http://en.wikipedia.org/wiki/Matra,French
69,McGuire,mcguire,http://en.wikipedia.org/wiki/McGuire_(Formula_One),Australian
1,McLaren,mclaren,http://en.wikipedia.org/wiki/McLaren,British
198,McLaren-Alfa Romeo,mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),British
194,McLaren-BRM,mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),British
187,McLaren-Ford,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,British
188,McLaren-Serenissima,mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren,British
131,Mercedes,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,German
60,Merzario,merzario,http://en.wikipedia.org/wiki/Merzario,Italian
112,Meskowski,meskowski,http://en.wikipedia.org/wiki/Meskowski,American
163,Milano,milano,http://en.wikipedia.org/wiki/Scuderia_Milano,Italian
18,Minardi,minardi,http://en.wikipedia.org/wiki/Minardi,Italian
119,Moore,moore,http://en.wikipedia.org/wiki/Moore_(constructor),American
138,Nichels,nichels,http://en.wikipedia.org/wiki/Nichels,American
127,OSCA,osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,Italian
159,Olson,olson,http://en.wikipedia.org/wiki/Olson_(constructor),American
46,Onyx,onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),British
45,Osella,osella,http://en.wikipedia.org/wiki/Osella,Italian
30,Pacific,pacific,http://en.wikipedia.org/wiki/Pacific_Racing,British
136,Pankratz,pankratz,http://en.wikipedia.org/wiki/Pankratz,American
73,Parnelli,parnelli,http://en.wikipedia.org/wiki/Parnelli,American
135,Pawl,pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),American
67,Penske,penske,http://en.wikipedia.org/wiki/Penske_Racing,American
109,Phillips,phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),American
83,Politoys,politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,British
95,Porsche,porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,German
20,Prost,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,French
90,Protos,protos,http://en.wikipedia.org/wiki/Protos_(constructor),British
50,RAM,ram,http://en.wikipedia.org/wiki/RAM_Racing,British
215,RB F1 Team,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,Italian
93,RE,re,http://en.wikipedia.org/wiki/RE_%28automobile%29,Rhodesian
211,Racing Point,racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,British
158,Rae,rae,http://en.wikipedia.org/wiki/Rae_(motorsport),American
62,Rebaque,rebaque,http://en.wikipedia.org/wiki/Rebaque,Mexican
9,Red Bull,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Austrian
4,Renault,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,French
48,Rial,rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,German
15,Sauber,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Swiss
106,Scarab,scarab,http://en.wikipedia.org/wiki/Scarab_(constructor),American
134,Schroeder,schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),American
92,Scirocco,scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,British
58,Shadow,shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,British
202,Shadow-Ford,shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,British
203,Shadow-Matra,shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,British
91,Shannon,shannon,http://en.wikipedia.org/wiki/Shannon_(Formula_One),British
149,Sherman,sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),American
141,Simca,simca,http://en.wikipedia.org/wiki/Simca,French
31,Simtek,simtek,http://en.wikipedia.org/wiki/Simtek,British
162,Snowberger,snowberger,http://en.wikipedia.org/wiki/Snowberger,American
52,Spirit,spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team),British
12,Spyker,spyker,http://en.wikipedia.org/wiki/Spyker_F1,Dutch
14,Spyker MF1,spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Dutch
98,Stebro,stebro,http://en.wikipedia.org/wiki/Stebro,Canadian
129,Stevens,stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),American
24,Stewart,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,British
8,Super Aguri,super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Japanese
63,Surtees,surtees,http://en.wikipedia.org/wiki/Surtees,British
122,Sutton,sutton,http://en.wikipedia.org/wiki/Sutton_(constructor),American
154,Talbot-Lago,lago,http://en.wikipedia.org/wiki/Talbot-Lago,French
32,Team Lotus,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,British
124,Tec-Mec,tec-mec,http://en.wikipedia.org/wiki/Tec-Mec,Italian
81,Tecno,tecno,http://en.wikipedia.org/wiki/Tecno,Italian
55,Theodore,theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Hong Kong
79,Token,token,http://en.wikipedia.org/wiki/Token_(Racing_team),British
53,Toleman,toleman,http://en.wikipedia.org/wiki/Toleman,British
5,Toro Rosso,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Italian
7,Toyota,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Japanese
111,Trevis,trevis,http://en.wikipedia.org/wiki/Trevis,American
77,Trojan,trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),British
142,Turner,turner,http://en.wikipedia.org/wiki/Turner_(constructor),American
25,Tyrrell,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,British
118,Vanwall,vanwall,http://en.wikipedia.org/wiki/Vanwall,British
144,Veritas,veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),German
166,Virgin,virgin,http://en.wikipedia.org/wiki/Virgin_Racing,British
107,Watson,watson,http://en.wikipedia.org/wiki/A.J._Watson,American
160,Wetteroth,wetteroth,http://en.wikipedia.org/wiki/Wetteroth,American
3,Williams,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,British
59,Wolf,wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Canadian
49,Zakspeed,zakspeed,http://en.wikipedia.org/wiki/Zakspeed,German
